GEOHASH,LAT1,LONG1,LAT2,LONG2,LAT3,LONG3,LAT4,LONG4,COUNT
dnynhp,39.0618896484,-81.3757324219,39.0618896484,-81.38671875,39.0673828125,-81.3757324219,39.0673828125,-81.38671875,1
dnye5r,38.5345458984,-80.7055664062,38.5345458984,-80.7165527344,38.5400390625,-80.7055664062,38.5400390625,-80.7165527344,1
dnyds3,38.4136962891,-80.6616210938,38.4136962891,-80.6726074219,38.4191894531,-80.6616210938,38.4191894531,-80.6726074219,1
dnyp12,39.19921875,-81.4965820312,39.19921875,-81.5075683594,39.2047119141,-81.4965820312,39.2047119141,-81.5075683594,1
dny73u,38.5620117188,-81.123046875,38.5620117188,-81.1340332031,38.5675048828,-81.123046875,38.5675048828,-81.1340332031,1
dny4k3,38.3697509766,-81.3647460938,38.3697509766,-81.3757324219,38.3752441406,-81.3647460938,38.3752441406,-81.3757324219,1
dny4xh,38.4301757812,-81.2438964844,38.4301757812,-81.2548828125,38.4356689453,-81.2438964844,38.4356689453,-81.2548828125,1
dny4zp,38.4906005859,-81.2438964844,38.4906005859,-81.2548828125,38.49609375,-81.2438964844,38.49609375,-81.2548828125,1
dny570,38.5400390625,-81.4196777344,38.5400390625,-81.4306640625,38.5455322266,-81.4196777344,38.5455322266,-81.4306640625,1
dny5hs,38.5180664062,-81.3537597656,38.5180664062,-81.3647460938,38.5235595703,-81.3537597656,38.5235595703,-81.3647460938,1
dny5hv,38.5235595703,-81.3427734375,38.5235595703,-81.3537597656,38.5290527344,-81.3427734375,38.5290527344,-81.3537597656,1
dny5km,38.5675048828,-81.3647460938,38.5675048828,-81.3757324219,38.5729980469,-81.3647460938,38.5729980469,-81.3757324219,1
dny6uu,38.4741210938,-80.9912109375,38.4741210938,-81.0021972656,38.4796142578,-80.9912109375,38.4796142578,-81.0021972656,1
dny71z,38.5345458984,-81.123046875,38.5345458984,-81.1340332031,38.5400390625,-81.123046875,38.5400390625,-81.1340332031,1
dny72x,38.5784912109,-81.1779785156,38.5784912109,-81.1889648438,38.583984375,-81.1779785156,38.583984375,-81.1889648438,1
dny7d2,38.583984375,-81.1010742188,38.583984375,-81.1120605469,38.5894775391,-81.1010742188,38.5894775391,-81.1120605469,1
dnydrw,38.3972167969,-80.5187988281,38.3972167969,-80.5297851562,38.4027099609,-80.5187988281,38.4027099609,-80.5297851562,1
dny7gb,38.6279296875,-81.03515625,38.6279296875,-81.0461425781,38.6334228516,-81.03515625,38.6334228516,-81.0461425781,1
dny7xw,38.6169433594,-80.8703613281,38.6169433594,-80.8813476562,38.6224365234,-80.8703613281,38.6224365234,-80.8813476562,1
